juv,mum,sex,age,m.rank.sp,j.p.gg,j.p.rc,j.p.pl,p.gg.j,p.rc.j,p.pl.j,fy.m.p.gg_not_juv,fy.m.p.rc_not_juv,fy.p.gg.af,fy.p.rc.af,fy.mj.gg,fy.mj.rc,m.p.gg_not_juv_avg_lifetime,m.p.rc_not_juv_avg_lifetime,p.gg.af_avg_lifetime,p.rc.af_avg_lifetime
fris,flet,M,6.758384668035592,0.625,0.018783176806859942,0.04409963250306247,0.01837484687627603,0.011433238056349531,0.02041649652919559,0.01796651694569212,0.03686131386861314,0.04251824817518248,0.008759124087591242,0.013503649635036497,0.0032846715328467154,0.24343065693430657,0.03686131386861314,0.04251824817518248,0.008759124087591242,0.013503649635036497
kabu,kayl,F,2.624229979466119,0.455,0.00874751491053678,0.03220675944333996,0.00437375745526839,0.004771371769383698,0.014711729622266401,0.00437375745526839,0.11418832552194291,0.18236046016190882,0.09352364720920324,0.12121857690668938,0.027694929697486152,0.26224968044311886,0.1231847177755771,0.23528928558241496,0.09057876615572139,0.10819935661303311
keny,kayl,M,5.811088295687885,0.455,0.012841091492776886,0.03531300160513644,0.04173354735152488,0.012841091492776886,0.030497592295345103,0.04173354735152488,0.0737392003214788,0.10769539883463934,0.03837653204741812,0.03837653204741812,0.015471167369901548,0.23709061683745228,0.08303003097625382,0.1577934979125807,0.05039845159452805,0.0647056214245927
king,kipp,M,4.080766598220397,0.364,0.006827309236947791,0.035341365461847386,0.06907630522088354,0.006827309236947791,0.0285140562248996,0.06506024096385542,0.0645575032064985,0.12505344164172724,0.0168875587858059,0.05942710560068405,0.014322359982898675,0.25972637879435656,0.07172564321454747,0.18702377557940708,0.026376778761772916,0.046782278611125334
mayh,mixu,F,5.7180013689253935,0.789,0.08032915360501568,0.06935736677115988,0.00274294670846395,0.02821316614420063,0.02860501567398119,0.0023510971786833857,0.07699056810704102,0.059881552972143016,0.032682605834612855,0.025882869050230312,0.007896468523799079,0.16012283395481466,0.08900071864364258,0.04877806321859694,0.04711747327466253,0.02050875962667526
mend,merl,F,5.822039698836414,0.737,0.04919292851652575,0.06917755572636433,0.002690238278247502,0.026902382782475018,0.030361260568793236,0.0015372790161414297,0.04437564499484004,0.04107327141382869,0.029721362229102165,0.019814241486068113,0.02476780185758514,0.2707946336429309,0.06440799358295657,0.09383261153783401,0.034139642398223896,0.017980697544829876
mole,merl,F,2.6324435318275157,0.737,0.02292490118577075,0.045454545454545456,0.005138339920948616,0.008300395256916997,0.024110671936758893,3.952569169960474e-4,0.10029313232830821,0.08563651591289782,0.048576214405360134,0.03287269681742044,0.010050251256281407,0.2617252931323283,0.10790312940997748,0.14747219590394295,0.043619849446116826,0.030517493993435757
onyx,opal,M,2.8049281314168377,0.909,0.01639344262295082,0.03318672530987605,0.041583366653338664,0.009596161535385846,0.015593762495002,0.03718512594962015,0.09184328837508028,0.14258188824662812,0.08477842003853564,0.10318989509740954,0.0074930421751231,0.24234639263540997,0.08664617615933688,0.11517618603919055,0.07861580860910491,0.07615123249886281
pam,park,F,2.732375085557837,0.091,0.03248811410459588,0.03882725832012678,0.006339144215530904,0.023375594294770204,0.029318541996830427,0.004358161648177496,0.06132989025177534,0.09662147622121799,0.04196255648805681,0.057456423499031635,0.01312674843985367,0.15773617387561867,0.05994698384188865,0.11385839799789152,0.04389232945696641,0.04931140214402697
peke,pans,M,4.9281314168377826,0.174,0.0036188178528347406,0.03096099718536389,0.0611178126256534,0.0036188178528347406,0.020506634499396863,0.0611178126256534,0.0950113848064583,0.09314841647691989,0.038915338439246536,0.0376733595528876,0.01904367625750362,0.2796522459118195,0.07856247395512272,0.11135762354635484,0.04015663155432285,0.032676026001416746
petr,park,F,5.670088980150582,0.091,0.08216432865731463,0.06533066132264528,0.00080160320641282565,0.049298597194388775,0.026452905811623247,0,0.04597701149425287,0.07992097701149425,0.023706896551724137,0.03681752873563218,0.013469827586206896,0.2101293103448276,0.049423001671321694,0.10978053180810773,0.03156230025206798,0.03639059768880685
pira,pinc,M,4.851471594798083,0.947,0.022044088176352707,0.04128256513026052,0.05090180360721443,0.02004008016032064,0.036072144288577156,0.05050100200400802,0.07401281786231136,0.07463303700640893,0.021294190614016953,0.01674591689063469,0.022534628902212115,0.2586313830886913,0.06454681278682252,0.07294812034006422,0.029268894881881884,0.019534238249705967
renl,robe,M,2.6036960985626285,0.263,0.009665726943213854,0.03745469190495369,0.02577527184857028,0.008054772452678213,0.022150624244865084,0.01973419250906162,0.07576733204550333,0.08113329040566646,0.045288688559776774,0.03670315518351577,0.022537025112685124,0.24103884953852758,0.09222894594779266,0.15113118022274422,0.05766425526606782,0.04634408169107857
ropa,robe,M,5.945242984257358,0.263,0.03134920634920635,0.06746031746031746,0.023412698412698413,0.025396825396825397,0.05476190476190476,0.021031746031746033,0.04734639947148205,0.05615503193129267,0.029949350363356088,0.017397049108125964,0.017837480731116493,0.19621228804228144,0.06828932630937572,0.10128478599523277,0.03476165203209569,0.0222669144473533
ruki,rave,M,4.772073921971252,0.273,0.004024144869215292,0.03420523138832998,0.07042253521126761,0.004024144869215292,0.02374245472837022,0.06841046277665996,0.045554335894621295,0.12385656787413099,0.016831320892791803,0.04592023417489938,0.00951335528723015,0.2839370654957922,0.06879309465581492,0.11185426864984921,0.04377165635361407,0.048586355421732765
safi,saph,F,2.7624914442162902,0.818,0.05784469096671949,0.05665610142630745,3.961965134706815e-4,0.030903328050713153,0.022583201267828843,3.961965134706815e-4,0.07981119931345206,0.12357863119502253,0.06994207251662733,0.09418579703926196,0.004505470928985196,0.17335335764857326,0.0765804162826429,0.11460105153883156,0.06724487488912051,0.0749657591553278
sevi,sava,F,2.646132785763176,0.87,0.03526148969889065,0.042789223454833596,0.009112519809825673,0.011489698890649762,0.020206022187004756,0.007527733755942948,0.06581511149599481,0.1407231002381468,0.042866421303312405,0.09785667893483438,0.026196146352024247,0.3072093526737389,0.08622747526510002,0.18027100685951605,0.05878230521906063,0.09080459701268881
spad,spik,F,5.874058863791923,0.368,0.07188755020080322,0.05542168674698795,0.0012048192771084338,0.03493975903614458,0.02248995983935743,0.0012048192771084338,0.08635655464055197,0.06387714222123303,0.05942577342532829,0.029824170932561764,0.016692632984642776,0.2314711773870465,0.08414492024687355,0.1016485471439165,0.042797236328235413,0.027789734790428233
spor,spik,F,2.239561943874059,0.368,0.046263345195729534,0.05219454329774614,0.004744958481613286,0.04191379992091736,0.03044681692368525,0.00276789244760775,0.12744451768842013,0.0962425840474621,0.05603164139749506,0.04065040650406504,0.007470885519666007,0.25488903537684027,0.12744451768842013,0.0962425840474621,0.05603164139749506,0.04065040650406504
stel,sput,F,2.5763175906913074,0.684,0.015097338100913786,0.03694874851013111,0.0166865315852205,0.014302741358760428,0.027016289233214145,0.013110846245530394,0.07722896609460025,0.06153202176642947,0.03641691084135622,0.03181247383842612,0.007534533277521975,0.23817496860611134,0.07439515219228154,0.06015727482373518,0.03993243311584539,0.03147315141735432
stre,sput,F,6.751540041067761,0.684,0.08359375,0.1,0.001171875,0.029296875,0.0265625,0,0.047409040793825796,0.03543865175618208,0.03260355961568751,0.01606552212946921,0.00693022523232005,0.30571743581666405,0.05584358706777004,0.07837430487890672,0.030769522068149164,0.017562691822856948
tatu,twin,M,6.747433264887063,1,0.00644122383252818,0.022946859903381644,0.020933977455716585,0.0036231884057971015,0.014895330112721417,0.01932367149758454,0.028249630723781387,0.0371122599704579,0.019017725258493354,0.022895125553914326,0.0048005908419497785,0.1827917282127031,0.04841558506941618,0.06987390130062204,0.032716760766717166,0.025989968780013972
tesl,twin,F,2.746064339493498,1,0.019504876219054765,0.05438859714928732,0.0086271567891973,0.009377344336084021,0.03788447111777944,0.005626406601650412,0.060862214708368556,0.06868131868131869,0.04606931530008453,0.0437447168216399,0.008030431107354184,0.1565934065934066,0.0708713744825543,0.05709603900922229,0.04789243652711375,0.03213701337000867
ting,tang,M,4.947296372347707,0.526,0.018555667001003008,0.037111334002006016,0.022066198595787363,0.018555667001003008,0.03610832497492478,0.022066198595787363,0.09243697478991597,0.07794117647058824,0.029411764705882353,0.024369747899159664,0.025210084033613446,0.1619747899159664,0.06889052174121486,0.09906431144515879,0.02625325467769235,0.024719176347866224
